0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0.789122933,0.372059677,0.96126858,1.64481713,0.539490857,0.381776966,0.033683115,0.192014172,0.996142622,0.586528602,0.904852269,0.172609927,0.84645861,1.747784163,0.946658347,1.305484575,0.504350015,1.068580996,1.119309418,0.796775613,0.48428437,-0.109382731,0.396252709,1.39498135,-0.233311679,1.074144595,0.473656383,0.733626786,-0.821133221,1.100976188,0.693401066,0.635339925,0.278325408,0.586401765,0.464569623,0.857316849,0.594333396,0.404893298,0.743730641,0.207651345,0.850581964,0.232233694,0.564998946,0.041341217,-0.708371628,0.636393907
0.575571833,0.400073224,-0.053261662,0.145658858,-0.888976681,0.079945792,-0.718692618,1.097123349,-0.56614025,-0.454214547,-0.349392373,0.259843188,-0.24985148,0.000877535,-0.922860824,0.724040962,-0.341800588,0.240329892,0.352119109,0.323805801,0.482264655,0.015119,0.616822808,0.677753468,-0.314550734,-0.70840709,-0.530538257,0.323207249,0.760338709,-0.35301957,1.446435651,0.38730628,0.024429318,0.512330726,0.014840069,1.130742863,0.587637385,1.613755704,0.389213154,0.019773763,0.568521447,0.386710275,0.196442696,0.230839228,1.02103707,0.539511716
-0.819327345,-0.333232589,-0.67738036,-0.177512327,-0.12602062,-0.017904091,0.078708317,0.172969965,-0.295013539,-0.074509511,-0.800934124,0.555180363,0.09525063,0.122915719,-0.209034315,-0.558137446,0.165229827,-0.139623419,0.249439758,-0.492972774,-0.564253674,0.048966308,0.189325923,-0.743837271,-0.139125006,0.185358027,-0.162004201,-0.270887054,0.200841655,-0.179195404,-0.985511633,-1.270226872,0.068553557,0.066761391,0.532419567,-0.632535615,0.112584612,0.057924539,-0.858120617,0.515478732,-0.788084792,-0.90478236,0.198638296,0.073679554,0.392456112,0.047992951
0.072401822,0.241791073,0.048301177,0.637343391,-0.134032119,0.481744284,0.340390652,0.238761552,0.485456931,0.736024931,0.412705467,0.780473886,0.28400921,0.495465188,0.242766377,-0.205637283,0.435141096,0.251279556,0.504963251,0.360057349,0.661920616,0.38110208,0.295818502,-0.510300725,0.259050674,0.144418582,-0.558151639,-0.118833178,0.521217414,0.469138501,-0.828757233,0.96159401,0.413348869,0.143347071,0.308999973,0.52763849,0.276151311,0.624144726,0.0701151,0.029617437,0.053414587,0.169102144,-0.185232925,0.355155396,0.506916916,0.230244527
0.162836773,0.729881516,1.082553321,-1.048385388,0.279487484,0.880009648,1.072216777,0.704289622,-0.214771568,0.089887721,-0.105730303,1.328739557,-0.312142821,0.488275468,-0.012464193,0.443183094,0.925578912,0.405750354,0.617356045,0.229602196,0.374388513,0.553958258,1.211296704,1.439971625,0.044671403,0.122527453,0.9889513,0.533790273,-0.284639011,0.413108656,-0.924472121,-0.52025997,0.327332487,0.488335549,0.38812879,-0.978695455,0.35099124,1.242769816,0.449408064,0.569586044,0.431166871,-0.005494804,0.615634952,0.493679722,1.11840191,0.687861813
0.90631461,0.053644103,0.390824173,0.287968697,0.496333665,0.282616055,0.484324512,0.152426757,0.862646857,0.18096059,0.129048229,1.051443994,0.990207568,0.733702672,0.578376797,0.113842888,0.604571268,0.682771514,0.460723871,0.437940979,0.486917423,0.666851092,0.505593061,-0.024403265,0.151616017,0.852723726,-0.353737702,-1.043850319,0.405508186,0.318499876,1.38750452,-0.701516466,0.833851461,0.288332552,0.416139483,0.584344688,-0.035685675,-1.26840848,-0.195460425,0.828453259,-0.335240498,-0.632083827,0.967772322,0.194549646,0.94856548,-0.57506194
-0.316901911,0.917222852,-1.281785768,0.924288242,0.720412301,1.697138898,0.931480557,1.561106141,1.184471796,1.128168425,0.747837893,1.408158907,2.053898076,1.834856417,0.986429093,0.735410248,1.303941803,1.347960811,1.508232083,2.249190262,1.805019671,1.25386207,1.031888978,2.17097037,0.9769783,1.346405167,1.9473457,1.277181003,0.610292338,0.569927658,-0.694213342,1.025758097,2.151293878,1.698114856,1.641154861,1.641224161,0.409503597,0.089353293,1.132328027,0.772984163,1.924176983,1.299342333,1.744244664,1.362794071,1.391375038,1.055561308
-0.295346584,0.040720197,0.316914589,0.30765618,0.520068689,-0.251861794,0.711859014,-0.449802913,0.446546148,0.327120303,0.204106898,0.679659567,-0.097561658,0.667768652,0.71837546,-0.758797219,0.478441978,-0.14791801,0.426354588,0.939155478,-1.060416729,0.413634686,0.071399004,0.172591363,-0.049533614,0.404167651,0.988701046,0.609904436,-0.296513864,-0.255943829,-0.747314362,-0.067981046,-0.288429422,0.207163232,0.795842974,-0.683229293,0.559791586,-0.017764651,-0.407449362,0.057490253,0.671465591,-0.018039436,0.171412237,0.391677686,0.675167485,0.402812766
0.219573085,0.887775985,0.335049931,0.074714732,0.461382384,0.489357528,0.568628764,0.586435398,-0.086752897,0.544199993,0.511295205,1.11783129,0.663096954,0.380612471,0.201939521,0.279188569,0.857693168,0.517353165,0.957770627,0.949343537,1.103337,1.049966708,0.687564509,-0.020411878,0.665971698,0.419843351,0.282661525,0.84746966,0.93008141,0.430404613,0.712551087,0.99742898,1.28987456,0.23042236,0.727462555,1.431116226,1.325953692,1.125101633,1.471484669,0.279882261,1.204288118,1.380391591,0.481247812,1.094963872,1.010815809,1.399147497
0.204297449,-0.348298199,1.709438246,0.763943026,-0.321729454,-0.457620537,-0.49280305,-0.824771523,1.231191411,-0.087764393,-0.514952329,-0.363800342,0.224469158,1.476786825,0.521993399,0.099437434,-0.399251522,-0.145070152,-0.41354641,1.453388709,-0.910292206,-0.57483971,-0.900919934,0.25714536,-0.16506047,1.21240354,-0.467436457,0.770947439,-1.073402151,-0.665946265,1.059181441,0.71740192,-0.46530426,-0.34388272,0.070069312,-0.743077574,-0.554859447,-1.058820524,-0.58492982,0.990789964,-0.128628027,0.360655812,-0.56413164,-0.893923468,-0.932629725,-0.487800008
