Onset,stim
5150.136,fix
5165.298,cue
5168.257,t
5180.412,cue
5183.384,lf
5195.539,cue
5198.512,rh
5210.512,fix
5225.661,cue
5228.633,lh
5240.788,cue
5243.76,t
5255.915,cue
5258.887,rf
5271.042,cue
5274.014,rh
5286.169,cue
5289.141,lf
5301.141,fix
5316.48,fix
5324.53,cue
5327.489,rh
5339.644,cue
5342.616,lf
5354.771,cue
5357.744,t
5369.899,cue
5372.871,rf
5385.026,cue
5387.998,lh
5399.998,fix
5415.147,cue
5418.119,t
5430.274,cue
5433.246,lf
5445.401,cue
5448.374,rh
5460.374,fix
5475.523,cue
5478.495,lh
5490.65,cue
5493.622,rf
5505.622,fix
5520.96,fix
5529.01,cue
5531.969,lh
5544.124,cue
5547.096,rf
5559.096,fix
5574.258,cue
5577.217,t
5589.372,cue
5592.344,lf
5604.499,cue
5607.472,rh
5619.472,fix
5634.621,cue
5637.593,lh
5649.748,cue
5652.72,t
5664.875,cue
5667.847,rf
5680.002,cue
5682.974,rh
5695.129,cue
5698.101,lf
5710.101,fix
5725.44,fix
5733.49,cue
5736.449,rh
5748.604,cue
5751.576,lf
5763.731,cue
5766.704,t
5778.859,cue
5781.831,rf
5793.986,cue
5796.958,lh
5808.958,fix
5824.107,cue
5827.079,t
5839.234,cue
5842.206,lf
5854.361,cue
5857.334,rh
5869.334,fix
5884.483,cue
5887.455,lh
5899.61,cue
5902.582,rf
5914.582,fix
5929.92,fix
5937.97,cue
5940.929,lh
5953.084,cue
5956.056,rf
5968.056,fix
5983.218,cue
5986.177,t
5998.332,cue
6001.304,lf
6013.459,cue
6016.432,rh
6028.432,fix
6043.581,cue
6046.553,lh
6058.708,cue
6061.68,t
6073.835,cue
6076.807,rf
6088.962,cue
6091.934,rh
6104.089,cue
6107.061,lf
6119.061,fix
6134.4,fix
6142.45,cue
6145.409,rh
6157.564,cue
6160.536,lf
6172.691,cue
6175.664,t
6187.819,cue
6190.791,rf
6202.946,cue
6205.918,lh
6217.918,fix
6233.067,cue
6236.039,t
6248.194,cue
6251.166,lf
6263.321,cue
6266.294,rh
6278.294,fix
6293.443,cue
6296.415,lh
6308.57,cue
6311.542,rf
6323.542,fix
6338.88,fix
6346.93,cue
6349.889,lh
6362.044,cue
6365.016,rf
6377.016,fix
6392.178,cue
6395.137,t
6407.292,cue
6410.264,lf
6422.419,cue
6425.392,rh
6437.392,fix
6452.541,cue
6455.513,lh
6467.668,cue
6470.64,t
6482.795,cue
6485.767,rf
6497.922,cue
6500.894,rh
6513.049,cue
6516.021,lf
6528.021,fix
6543.36,fix
6551.41,cue
6554.369,rh
6566.524,cue
6569.496,lf
6581.651,cue
6584.624,t
6596.779,cue
6599.751,rf
6611.906,cue
6614.878,lh
6626.878,fix
6642.027,cue
6644.999,t
6657.154,cue
6660.126,lf
6672.281,cue
6675.254,rh
6687.254,fix
6702.403,cue
6705.375,lh
6717.53,cue
6720.502,rf
6732.502,fix
6747.84,fix
6755.89,cue
6758.849,lh
6771.004,cue
6773.976,rf
6785.976,fix
6801.138,cue
6804.097,t
6816.252,cue
6819.224,lf
6831.379,cue
6834.352,rh
6846.352,fix
6861.501,cue
6864.473,lh
6876.628,cue
6879.6,t
6891.755,cue
6894.727,rf
6906.882,cue
6909.854,rh
6922.009,cue
6924.981,lf
6936.981,fix
6952.32,fix
6960.37,cue
6963.329,rh
6975.484,cue
6978.456,lf
6990.611,cue
6993.584,t
7005.739,cue
7008.711,rf
7020.866,cue
7023.838,lh
7035.838,fix
7050.987,cue
7053.959,t
7066.114,cue
7069.086,lf
7081.241,cue
7084.214,rh
7096.214,fix
7111.363,cue
7114.335,lh
7126.49,cue
7129.462,rf
7141.462,fix
7156.8,fix
7164.85,cue
7167.809,lh
7179.964,cue
7182.936,rf
7194.936,fix
7210.098,cue
7213.057,t
7225.212,cue
7228.184,lf
7240.339,cue
7243.312,rh
7255.312,fix
7270.461,cue
7273.433,lh
7285.588,cue
7288.56,t
7300.715,cue
7303.687,rf
7315.842,cue
7318.814,rh
7330.969,cue
7333.941,lf
7345.941,fix
7361.28,fix
7369.33,cue
7372.289,rh
7384.444,cue
7387.416,lf
7399.571,cue
7402.544,t
7414.699,cue
7417.671,rf
7429.826,cue
7432.798,lh
7444.798,fix
7459.947,cue
7462.919,t
7475.074,cue
7478.046,lf
7490.201,cue
7493.174,rh
7505.174,fix
7520.323,cue
7523.295,lh
7535.45,cue
7538.422,rf
7550.422,fix
7565.76,fix
7573.81,cue
7576.769,lh
7588.924,cue
7591.896,rf
7603.896,fix
7619.058,cue
7622.017,t
7634.172,cue
7637.144,lf
7649.299,cue
7652.272,rh
7664.272,fix
7679.421,cue
7682.393,lh
7694.548,cue
7697.52,t
7709.675,cue
7712.647,rf
7724.802,cue
7727.774,rh
7739.929,cue
7742.901,lf
7754.901,fix
7770.24,fix
7778.29,cue
7781.249,rh
7793.404,cue
7796.376,lf
7808.531,cue
7811.504,t
7823.659,cue
7826.631,rf
7838.786,cue
7841.758,lh
7853.758,fix
7868.907,cue
7871.879,t
7884.034,cue
7887.006,lf
7899.161,cue
7902.134,rh
7914.134,fix
7929.283,cue
7932.255,lh
7944.41,cue
7947.382,rf
7959.382,fix
7974.72,fix
7982.77,cue
7985.729,lh
7997.884,cue
8000.856,rf
8012.856,fix
8028.018,cue
8030.977,t
8043.132,cue
8046.104,lf
8058.259,cue
8061.232,rh
8073.232,fix
8088.381,cue
8091.353,lh
8103.508,cue
8106.48,t
8118.635,cue
8121.607,rf
8133.762,cue
8136.734,rh
8148.889,cue
8151.861,lf
8163.861,fix
8179.2,fix
8187.25,cue
8190.209,rh
8202.364,cue
8205.336,lf
8217.491,cue
8220.464,t
8232.619,cue
8235.591,rf
8247.746,cue
8250.718,lh
8262.718,fix
8277.867,cue
8280.839,t
8292.994,cue
8295.966,lf
8308.121,cue
8311.094,rh
8323.094,fix
8338.243,cue
8341.215,lh
8353.37,cue
8356.342,rf
8368.342,fix
8383.68,fix
8391.73,cue
8394.689,lh
8406.844,cue
8409.816,rf
8421.816,fix
8436.978,cue
8439.937,t
8452.092,cue
8455.064,lf
8467.219,cue
8470.192,rh
8482.192,fix
8497.341,cue
8500.313,lh
8512.468,cue
8515.44,t
8527.595,cue
8530.567,rf
8542.722,cue
8545.694,rh
8557.849,cue
8560.821,lf
8572.821,fix
8588.16,fix
8596.21,cue
8599.169,rh
8611.324,cue
8614.296,lf
8626.451,cue
8629.424,t
8641.579,cue
8644.551,rf
8656.706,cue
8659.678,lh
8671.678,fix
8686.827,cue
8689.799,t
8701.954,cue
8704.926,lf
8717.081,cue
8720.054,rh
8732.054,fix
8747.203,cue
8750.175,lh
8762.33,cue
8765.302,rf
8777.302,fix
8792.64,fix
8800.69,cue
8803.649,lh
8815.804,cue
8818.776,rf
8830.776,fix
8845.938,cue
8848.897,t
8861.052,cue
8864.024,lf
8876.179,cue
8879.152,rh
8891.152,fix
8906.301,cue
8909.273,lh
8921.428,cue
8924.4,t
8936.555,cue
8939.527,rf
8951.682,cue
8954.654,rh
8966.809,cue
8969.781,lf
8981.781,fix
8997.12,fix
9005.17,cue
9008.129,rh
9020.284,cue
9023.256,lf
9035.411,cue
9038.384,t
9050.539,cue
9053.511,rf
9065.666,cue
9068.638,lh
9080.638,fix
9095.787,cue
9098.759,t
